tweet,label
"Donald Trump is a tyrant. The type of tyrant the good ole boys of 1776 warned you all about. But instead of worrying about the Redcoats coming back you are forgetting the oath to the US Constitution to protect and defend it against enemies BOTH Foreign and Domestic. #Trump
#RFK (worth reading his book on #Fauci) never took the V and never will…
Canada - vote Conservative like our lives depend on it. A vote for Pierre Pollievre is a vote to bring back a strong Canada.",1.0
"Black lives matter. We need real police reform and accountability, not more militarized forces in our communities.",2.0
"Why do Americans blame other countries for their drug problems? 

It’s truly pathetic",2.0
"Canada has seen a number of church burnings in recent years thanks to anti-Christian bigotry. All over the world, Christians are the most persecuted religious group.  Jamil is speaking the truth. Shame on journalists who refuse to see what's obvious.",4.0
It's pretty simple. How much evidence do you need to see before you realize there's little difference between the blue and red mafias? SMFH... #libconsmears #elxn43,3.0
most anti abortion people are one unplanned pregnancy away from being prochoice,2.0
This is a profound moment during the #KennedyConfirmation where @SenatorHassan makes a powerful statement on #RFK’s history of anti vaccine conspiracies. This is a moment that should be archived for history #Trump #HHS,2.0
"So, does the $600000000 media bailout  is promising you fall under rule #2 Robyn? #cdnpoli  #elxn43 #elxn #elxn2019",4.0
"Yes, Bernie Sanders is a lifelong and committed communist who spent a long time advocating for government seizure of large parts of the economy.

Your ignorance of his history and views doesn't change that. ",5.0
"Prime Minister Justin Trudeaus underage accuser was much younger at the time of their relationship than was first thought, her father tells The Chronicle.  #cdnpoli #elxn43",5.0
"If I just read the transcript I would have 100% thought this was Justin Trudeau. Any answer but ""No."" from Scheer is damming. Canadians aren't as stupid as these people think. If the CPC looks the LPC and acts like the LPC... what's the difference? #VotePPC #elxn43",4.0
"Remember folks, Trudeau has cancelled the deportation of all illegal criminal gangs/migrants/drug runners/illegal gun runners &amp; human traffickers.  #elxn43 #cdnpoli #TrudeauMustGo #ChooseForward",5.0
"being pro choice means letting people choose what they want, they can choose to not get abortions or they can choose to get them. being pro life is just forcing ur beliefs onto others. your body, your choice. ",1.0
"This right here, is what separates Men from boys. This is a true leader. A real President. Perhaps the greatest in a century or more. The first one I can remember that actually puts people over politics, law over emotion, truth over lies.",3.0
"The left calls tariffs ‘protectionism’ like it’s a bad thing. Yes, we want to protect American jobs!",4.0
"I fully endorse Doug Ford for another 4 years. He is getting done.
Doug Ford isn’t protecting Ontario. He’s protecting himself and wasting $175 million on a power grab. Ontario deserves better.
Irresponsibility is billing taxpayers MORE IN ONE DAY than some Canadians make in a year. #PierreisNotWorththeRisk #cdnpoli",5.0
PROUD,3.0
This makes my heart swell with joy. Adam is a good man whos run a positive campaign. He deserves this seat. Best of luck  #AdamForMilton  #ChooseForward  #IStandWithTrudeau  #elxn43,2.0
"It Day 3 - Election Day is February 27th! Leadership matters now more than ever. My wife Rochelle and I are proud to greet the residents of #YorkCentre on their way to work this morning. 
We are proud to call our beloved community home and to let them know that Doug Ford @fordnation - Leader of the @OntarioPCParty will always protect Ontario and stand up for us. #ProtectOntario",4.0
"Climate change activist complained that it is UNFAIR she may go to prison for breaking the law and could be deported from the UK. 

“I will have to explain to my children, who are 6 and 9, that their mother might be going to prison and might be deported.”

She was found guilty of spraying orange paint on the UK Treasury Department, causing thousands worth of damage to the building.",3.0
"Andrew Scheer and the Conservatives are spiralling out of control.   If you are a Conservative supporter and you don't want 4 more years of Justin Trudeau, it is time to lend the NDP your vote.  #elxn43 #Cdnpoli",1.0
"This is what @fordnation transit cuts look like. Overcrowded, delayed, underfunded. Toronto deserves better. #ONpoli #FundTransit",2.0
So much of contemporary Conservatism revolves around cultivating and validating a sense of victimhood in groups that aren't actually victims.,1.0
"If they are not going to raise the GST, they'd have to explain which taxes they will raise to pay for it. That is my challenge to Justin Trudeau today,",4.0
"Elon Musk and 
@DOGE
 just CANCELED Bill Kristol and his communist group. 

For this alone DOGE is so worth it.",5.0
"Some believe we are ushering into totalitarian fascism, others think the golden age is upon us, and some believe we are being tricked into a technocracy and digital enslavement. 

All I see is the glorious manifestation of the Divine in all its forms and distortions from dark to light and anything in between that also manifests as a spiritual war on unseen levels.

We are all called play our individual roles like Arjuna on the battlefield with Krishna on his side.

It is magnificent for nothing can stop what is coming in accordance with Divine Will. I'm most grateful to be alive and incarnated in this body during these incredible times. Rejoice!",3.0
"homosexuality is criminalized and punishable by death in many countries, even in some modernized countries you can still be killed, looked down at, or turned away from a job if you’re LGBT+. that is clear oppression.",2.0
Agreed.   #cdnpoli  #elxn43  #TrudeauBlackface  #TrudeauMustGo,3.0
Canadians are about to get very jealous of the reforms starting in the US. I hope Pierre Pollievre is taking notes.,3.0
"Billionaires shouldn’t exist while people are struggling to afford rent and healthcare. Tax the rich!
Democrat Rep. Alexandria Ocasio-Cortez here admitting that Democrats in Congress openly engage in insider trading. #insidertrading #aoc",2.0
BREAKING: Democratic Rep. Jasmine Crockett gets fact checked by Community Notes for lying about President Trump freezing the hiring of Air Traffic Controllers.,4.0
Why should we let foreign companies undercut American businesses with artificially low prices?,4.0
"AOC is running an ad against Elon, Zuckerberg, Bezos.  “Fight the Oligarchy”. Love her !",2.0
